Note regarding coverage and payment indicators for codes in CMS’ 2020 HCPCS Update and DMEPOS Fee Schedule Files

If specific Medicare coverage or payment indicators or values have not been established for any new HCPCS codes, this may be because a n






  HCPC/MOD         ACTION CD       SHORT DESCRIPTION              LONG DESCRIPTION
   E0575           No Change       Nebulizer ultrasonic           Nebulizer, ultrasonic, large volume
   E0580           No Change       Nebulizer for use w/ regulat   Nebulizer, durable, glass or autoclavable plastic, bottle type, for us
   E0585           No Change       Nebulizer w/ compressor & he   Nebulizer, with compressor and heater
   E0600           No Change       Suction pump portab hom modl   Respiratory suction pump, home model, portable or stationary, electric
   E0601           No Change       Cont airway pressure device    Continuous positive airway pressure (cpap) device
   E0602           No Change       Manual breast pump             Breast pump, manual, any type
   E0603           No Change       Electric breast pump           Breast pump, electric (ac and/or dc), any type
   E0604           No Change       Hosp grade elec breast pump    Breast pump, hospital grade, electric (ac and / or dc), any type
   E0605           No Change       Vaporizer room type            Vaporizer, room type
   E0606           No Change       Drainage board postural        Postural drainage board
   E0607           No Change       Blood glucose monitor home     Home blood glucose monitor
   E0610           No Change       Pacemaker monitr audible/vis   Pacemaker monitor, self-contained, (checks battery depletion, includes
   E0615           No Change       Pacemaker monitr digital/vis   Pacemaker monitor, self contained, checks battery depletion and other
   E0616           No Change       Cardiac event recorder         Implantable cardiac event recorder with memory, activator and programm
   E0617           No Change       Automatic ext defibrillator    External defibrillator with integrated electrocardiogram analysis
   E0618           No Change       Apnea monitor                  Apnea monitor, without recording feature
   E0619           No Change       Apnea monitor w recorder       Apnea monitor, with recording feature
   E0620           No Change       Cap bld skin piercing laser    Skin piercing device for collection of capillary blood, laser, each
   E0621           No Change       Patient lift sling or seat     Sling or seat, patient lift, canvas or nylon
   E0625           No Change       Patient lift bathroom or toi   Patient lift, bathroom or toilet, not otherwise classified
   E0627           No Change       Seat lift mech, electric any   Seat lift mechanism, electric, any type
   E0628           No Change       Seat lift for pt furn-electr   Separate seat lift mechanism for use with patient owned furniture-elec
   E0629           No Change       Seat lift mech, non-electric   Seat lift mechanism, non-electric, any type
   E0630           No Change       Patient lift hydraulic         Patient lift, hydraulic or mechanical, includes any seat, sling, strap
   E0635           No Change       Patient lift electric          Patient lift, electric with seat or sling
   E0636           No Change       Pt support & positioning sys   Multipositional patient support system, with integrated lift, patient
   E0637           No Change       Combination sit to stand sys   Combination sit to stand frame/table system, any size including pediat
   E0638           No Change       Standing frame sys             Standing frame/table system, one position (e.g., upright, supine or pr
   E0639           No Change       Moveable patient lift system   Patient lift, moveable from room to room with disassembly and reassemb
   E0640           No Change       Fixed patient lift system      Patient lift, fixed system, includes all components/accessories
   E0641           No Change       Multi-position stnd fram sys   Standing frame/table system, multi-position (e.g., three-way stander),
   E0642           No Change       Dynamic standing frame         Standing frame/table system, mobile (dynamic stander), any size includ
   E0650           No Change       Pneuma compresor non-segment   Pneumatic compressor, non-segmental home model
   E0651           No Change       Pneum compressor segmental     Pneumatic compressor, segmental home model without calibrated gradient
   E0652           No Change       Pneum compres w/cal pressure   Pneumatic compressor, segmental home model with calibrated gradient pr
   E0655           No Change       Pneumatic appliance half arm   Non-segmental pneumatic appliance for use with pneumatic compressor, h
   E0656           No Change       Segmental pneumatic trunk      Segmental pneumatic appliance for use with pneumatic compressor, trunk
   E0657           No Change       Segmental pneumatic chest      Segmental pneumatic appliance for use with pneumatic compressor, chest
   E0660           No Change       Pneumatic appliance full leg   Non-segmental pneumatic appliance for use with pneumatic compressor, f
   E0665           No Change       Pneumatic appliance full arm   Non-segmental pneumatic appliance for use with pneumatic compressor, f
   E0666           No Change       Pneumatic appliance half leg   Non-segmental pneumatic appliance for use with pneumatic compressor, h
   E0667           No Change       Seg pneumatic appl full leg    Segmental pneumatic appliance for use with pneumatic compressor, full
   E0668           No Change       Seg pneumatic appl full arm    Segmental pneumatic appliance for use with pneumatic compressor, full
   E0669           No Change       Seg pneumatic appli half leg   Segmental pneumatic appliance for use with pneumatic compressor, half
   E0670           No Change       Seg pneum int legs/trunk       Segmental pneumatic appliance for use with pneumatic compressor, integ
   E0671           No Change       Pressure pneum appl full leg   Segmental gradient pressure pneumatic appliance, full leg
   E0672           No Change       Pressure pneum appl full arm   Segmental gradient pressure pneumatic appliance, full arm
   E0673           No Change       Pressure pneum appl half leg   Segmental gradient pressure pneumatic appliance, half leg
   E0675           No Change       Pneumatic compression device   Pneumatic compression device, high pressure, rapid inflation/deflation
   E0676           No Change       Inter limb compress dev nos    Intermittent limb compression device (includes all accessories), not o
   E0691           No Change       Uvl pnl 2 sq ft or less        Ultraviolet light therapy system, includes bulbs/lamps, timer and eye
   E0692           No Change       Uvl sys panel 4 ft             Ultraviolet light therapy system panel, includes bulbs/lamps, timer an
   E0693           No Change       Uvl sys panel 6 ft             Ultraviolet light therapy system panel, includes bulbs/lamps, timer an
   E0694           No Change       Uvl md cabinet sys 6 ft        Ultraviolet multidirectional light therapy system in 6 foot cabinet, i
   E0700           No Change       Safety equipment               Safety equipment, device or accessory, any type
